date_time,temp,rH
197202022100,-1.111111111,53.17162012
197202030000,0.555555556,53.63976214
197202030300,1.111111111,45.25749349
197202030600,0.555555556,45.09024142
197202030900,-0.555555556,46.77355746
197202031200,-1.666666667,46.43968716
197202031500,-2.222222222,60.26351461
197202031800,-1.666666667,50.73605879
197202032100,0,42.98289219
197202040000,0.555555556,51.37710575
197202040300,0,39.32633111
197202040600,-0.555555556,51.05782141
197202040900,-1.666666667,65.83037602
197202041200,-1.666666667,48.54550583
197202041500,-2.777777778,40.25587982
197202041800,-1.666666667,48.54550583
197202042100,-0.555555556,48.87386782
197202050000,-0.555555556,34.18771112
197202050300,0,58.28716597
197202050600,0,49.03714865
197202050900,-0.555555556,53.32830231
197202051200,-1.111111111,55.53609914
197202051500,-2.777777778,42.12689082
197202051800,-1.666666667,65.83037602
197202052100,-1.111111111,60.54783322
197202060000,-0.555555556,40.94685042
197202060300,0,41.11836992
197202060600,-1.111111111,50.89725063
197202060900,-1.111111111,42.64205395
197202061200,-2.777777778,57.5487649
197202061500,-3.333333333,50.24874241
197202061800,-2.777777778,55.07565866
197202062100,-2.777777778,42.12689082
197202070000,-1.666666667,50.73605879
197202070300,-0.555555556,44.75408733
197202070600,-1.111111111,68.82141036
197202070900,-3.333333333,54.92086896
197202071200,-3.888888889,59.83204824
197202071500,-3.888888889,47.88155277
197202071800,-3.333333333,43.90407229
197202072100,-1.111111111,46.60691084
197202080000,-2.222222222,52.85634158
197202080300,-2.777777778,60.12036067
197202080600,-3.333333333,59.97653957
197202080900,-3.333333333,50.24874241
197202081200,-4.444444444,59.68688363
197202081500,-4.444444444,59.68688363
197202081800,-3.888888889,50.08505196
197202082100,-2.777777778,40.25587982
197202090000,-2.777777778,40.25587982
197202090300,1.111111111,37.94907351
197202090600,-1.111111111,50.89725063
197202090900,-2.777777778,68.46053521
197202091200,-5,45.42419958
197202091500,-6.111111111,43.04030294
197202091800,-4.444444444,34.55349792
197202092100,-3.333333333,38.28471751
197202100000,-1.666666667,44.41573237
197202100300,-0.555555556,68.94044917
197202100600,-1.111111111,55.53609914
197202100900,-2.777777778,38.45945318
197202101200,-3.333333333,43.90407229
197202101500,-4.444444444,52.21807523
197202101800,-3.888888889,47.88155277
197202102100,-2.777777778,62.79384196
197202110000,-2.777777778,33.49196062
197202110300,-2.222222222,30.68033572
197202110600,-2.222222222,55.22979205
197202110900,-2.222222222,26.64435405
197202111200,-1.666666667,33.84052387
197202111500,-1.666666667,33.84052387
197202111800,-1.111111111,44.58518501
197202112100,-1.111111111,18.40103643
197202120000,0,18.70109521
197202120300,1.111111111,26.40756543
197202120600,1.111111111,28.9515637
197202120900,-1.666666667,24.38953895
197202121200,-2.777777778,40.25587982
197202121500,-3.333333333,45.93454859
197202121800,-3.888888889,34.72936779
197202122100,-2.222222222,48.38042264
197202130000,-2.222222222,46.27188588
197202130300,-2.777777778,30.50739441
197202130600,-0.555555556,68.94044917
197202130900,-3.888888889,57.2487717
197202131200,-5,27.07993313
197202131500,-5.555555556,32.6146826
197202131800,-6.111111111,35.67816772
197202132100,-4.444444444,34.55349792
197202140000,-3.888888889,28.76210935
197202140300,-1.666666667,28.10361226
197202140600,-3.333333333,28.93431418
197202140900,-5,37.75781769
197202141200,-5.555555556,37.58129236
197202141500,-5.555555556,35.85532437
197202141800,-6.111111111,29.46443766
197202142100,-5,32.79079707
197202150000,-3.333333333,27.59255774
197202150300,-1.666666667,29.4496227
197202150600,-2.777777778,30.50739441
197202150900,-5,54.45253918
197202151200,-5.555555556,51.89505793
197202151500,-6.666666667,40.90669196
197202151800,-6.111111111,39.20485612
197202152100,-3.888888889,43.73241832
197202160000,-0.555555556,53.32830231
197202160300,1.111111111,56.14093956
197202160600,-2.222222222,42.29913204
197202160900,-2.777777778,22.92785409
197202161200,-2.777777778,22.92785409
197202161500,-3.333333333,30.33419397
197202161800,-2.222222222,30.68033572
197202162100,-1.666666667,44.41573237
197202170000,-2.777777778,62.79384196
197202170300,-2.777777778,57.5487649
197202170600,-0.555555556,92.18997015
197202170900,-1.111111111,74.88143141
197202171200,-2.222222222,71.57282464
197202171500,-3.333333333,74.47571909
197202171800,-3.333333333,59.97653957
197202172100,-0.555555556,60.68900401
197202180000,0.555555556,63.60334542
197202180300,0.555555556,60.9693838
197202180600,0,51.21777262
197202180900,1.111111111,49.36191527
197202181200,0.555555556,63.60334542
197202181500,0,63.47005644
197202181800,0.555555556,58.43288237
197202182100,1.666666667,47.43438495
197202190000,1.666666667,43.49023647
197202190300,2.222222222,47.59815531
197202190600,1.666666667,
197202190900,0.555555556,
197202191200,-1.666666667,
197202191500,-3.888888889,39.90747222
197202191800,-3.888888889,41.78085045
197202192100,-0.555555556,42.81273373
197202200000,0,63.47005644
197202200300,1.111111111,78.43890448
197202200600,-1.666666667,92.12065733
197202200900,-1.666666667,84.7974627
197202201200,-1.666666667,88.39172931
197202201500,-0.555555556,63.33612061
197202201800,-1.666666667,48.54550583
197202202100,-1.666666667,74.78085637
197202210000,-0.555555556,74.98144419
197210190000,-13.88888889,
197210190300,-15,
197210190600,-15.55555556,
197210190900,-19.44444444,
197210191200,-20,
197210191500,-23.33333333,
197210191800,-20,
197210192100,-16.11111111,
197210200000,-10.55555556,
197210200300,-10.55555556,
197210200600,-12.77777778,
197210200900,-17.77777778,
197210201200,-18.88888889,
197210201500,-22.22222222,
197210201800,-21.66666667,
197210202100,-17.77777778,
197210210000,-16.11111111,
197210210300,-15,
197210210600,-13.88888889,
197210210900,-18.88888889,
197210211200,-22.77777778,
197210211500,-23.88888889,
197210211800,-23.33333333,
197210212100,-17.77777778,
197210220000,-13.88888889,
197210220300,-9.444444444,
197210220600,-12.77777778,
197210220900,-16.66666667,
197210221200,-16.66666667,
197210221500,-15.55555556,
197210221800,-17.77777778,
197210222100,-17.22222222,
197210230000,-15.55555556,
197210230300,-15,
197210230600,-16.11111111,
197210230900,-18.88888889,
197210231200,-18.88888889,
197210231500,-19.44444444,
197210231800,-18.88888889,
197210232100,-16.11111111,
197210240000,-14.44444444,
197210240300,-13.88888889,
197210240600,-14.44444444,
197210240900,-17.22222222,
197210241200,-17.77777778,
197210241500,-17.77777778,
197210241800,-18.33333333,
197210242100,-15.55555556,
197210250000,-14.44444444,
197210250300,-12.77777778,
197210250600,-14.44444444,
197210250900,-17.77777778,
197210251200,-18.88888889,
197210251500,-17.77777778,
197210251800,-18.33333333,
197210252100,-16.11111111,
197210260000,-15.55555556,
197210260300,-15,
197210260600,-14.44444444,
197210260900,-17.77777778,
197210261200,-20,
197210261500,-21.11111111,
197210261800,-18.33333333,
197210262100,-15.55555556,
197210270000,-12.77777778,
197210270300,-10.55555556,
197210270600,-12.22222222,
197210270900,-17.77777778,
